SKU,Type,Item Name,Invoice Type,Quantity,Gross Amount,Discounts,Net Amount,Taxes,Avg Gross Amount,Avg Discounts,Avg Net Amount,Materials Cost,Avg Materials Cost,Supplies Cost,Avg Supplies Cost,Gross Margin,Item Tax Code,Nature of Item,Category,Subcategory,Item Tags,Item Brand,Account Name,Item Group Name,Variant(s),Measuring Unit,Level Hierarchy 1
15EL,Item,Eggless Galaxy (1 Pcs),Sale,12,971.41,0,971.41,48.58,80.95,0,80.95,547.26,45.61,0,0,43.66%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Galaxy,1 Pcs,ea,
16,Item,Mango Mousse (1 Pcs),Sale,46,3504.74,0,3504.74,175.26,76.19,0,76.19,1584.8,34.45,0,0,54.78%,19059010,Goods,Cakes,Mousse & Cheese Cakes,"Non-vegetarian,Dessert",,,Mango Mousse,1 Pcs,ea,
160,Item,Six Wonders (1/2 Kg),Sale,12,5657.16,0,5657.16,282.84,471.43,0,471.43,1066.56,88.88,0,0,81.15%,19059010,Goods,Cakes,Something Special,"Non-vegetarian,Dessert",,,Six Wonders,1/2 Kg,ea,
160SP,Item,Six Wonders (Special cake 1/2 kg),Sale,1,702.86,0,702.86,35.14,702.86,0,702.86,0,0,0,0,100%,19059010,Goods,Cakes,Something Special,"Non-vegetarian,Dessert",,,Six Wonders,Special cake 1/2 kg,ea,
1614,Item,Eggless Chocolate Cheese Mousse (1/2 Kg),Sale,2,914.28,0,914.28,45.72,457.14,0,457.14,40.1,20.05,0,0,95.61%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Chocolate Cheese Mousse,1/2 Kg,ea,
1615,Item,Eggless Chocolate Mousse (1/2 Kg),Sale,2,866.66,0,866.66,43.34,433.33,0,433.33,0,0,0,0,100%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Chocolate Mousse,1/2 Kg,ea,
1616,Item,Eggless Mango Mousse (1 Pcs),Sale,1,80.95,0,80.95,4.05,80.95,0,80.95,0,0,0,0,100%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Mango Mousse,1 Pcs,ea,
1631,Item,Eggless Chocolate Mars (2 Kg),Sale,1,1790.48,0,1790.48,89.52,1790.48,0,1790.48,1043.15,1043.15,0,0,41.74%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Chocolate Mars,2 Kg,ea,
1639,Item,Fruit Forest (1.5 Kg),Sale,1,1271.43,0,1271.43,63.57,1271.43,0,1271.43,749.27,749.27,0,0,41.07%,19059010,Goods,Cakes,Exotic Fruitz,"Non-vegetarian,Dessert",,,Fruit Forest,1.5 Kg,ea,
1691,Item,ButterScotch (1.5 Kg),Sale,1,1114.29,-55.71,1058.58,52.93,1114.29,-55.71,1058.58,677.06,677.06,0,0,36.04%,19059010,Goods,Cakes,Premium Cakes,"Non-vegetarian,Dessert",,,ButterScotch,1.5 Kg,ea,
1693,Item,Black Forest (Special cake 1/2 Kg),Sale,1,483.81,0,483.81,24.19,483.81,0,483.81,0,0,0,0,100%,19059010,Goods,Cakes,Regular Cakes,"Non-vegetarian,Dessert",,,Black Forest,Special cake 1/2 Kg,ea,
1708,Item,White Forest (Special Cake 1/2 Kg),Sale,1,404.76,0,404.76,20.24,404.76,0,404.76,0,0,0,0,100%,19059010,Goods,Cakes,Regular Cakes,"Non-vegetarian,Dessert",,,White Forest,Special Cake 1/2 Kg,ea,
1709,Item,White Forest (Special Cake 1 Kg),Sale,1,719.05,0,719.05,35.95,719.05,0,719.05,0,0,0,0,100%,19059010,Goods,Cakes,Regular Cakes,"Non-vegetarian,Dessert",,,White Forest,Special Cake 1 Kg,ea,
1713,Item,Chocolate Mars (Special Cake 1 Kg),Sale,1,966.67,0,966.67,48.33,966.67,0,966.67,0,0,0,0,100%,19059010,Goods,Cakes,Premium Cakes,"Non-vegetarian,Dessert",,,Chocolate Mars,Special Cake 1 Kg,ea,
1745OM,Item,Burger Bun 2Pcs,Sale,15,600,0,600,0,40,0,40,420,28,0,0,30%,19054000,Goods,Snacks,Bun,"Vegetarian,Dessert",,,Burger Bun 2Pcs,,pkt,
1773,Item,Eggless Red velvet cake (1 Pcs),Sale,34,2935.11,0,2935.11,146.8,86.33,0,86.33,1410.63,41.49,0,0,51.94%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Red velvet cake,1 Pcs,ea,
1775,Item,Eggless Red velvet cake (1/2 Kg),Sale,3,1604.77,0,1604.77,80.23,534.92,0,534.92,0,0,0,0,100%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Red velvet cake,1/2 Kg,ea,
180,Item,Vanilla Almond Pastry (1/2 Kg),Sale,2,866.66,-21.67,844.99,42.25,433.33,-10.84,422.5,0,0,0,0,100%,19059010,Goods,Cakes,Something Special,"Non-vegetarian,Dessert",,,Vanilla Almond Pastry,1/2 Kg,ea,
180EL,Item,Eggless Vanilla Almond Pastry (1/2 Kg),Sale,2,914.28,-22.86,891.42,44.57,457.14,-11.43,445.71,0,0,0,0,100%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Vanilla Almond Pastry,1/2 Kg,ea,
1828,Item,BC Black Forest,Sale,0.2,114.29,0,114.29,5.71,571.45,0,571.45,60.61,303.05,0,0,46.97%,19059010,Goods,Big Cakes,,"Non-vegetarian,Dessert",,,BC Black Forest,,kg,
1831,Item,BC Blueberry Cheese Mousse,Sale,0.6,628.58,0,628.58,31.43,1047.63,0,1047.63,352.36,587.27,0,0,43.94%,19059010,Goods,Big Cakes,,"Non-vegetarian,Dessert",,,BC Blueberry Cheese Mousse,,kg,
1832,Item,BC Celebrations,Sale,0.3,277.14,0,277.14,13.86,923.8,0,923.8,41.04,136.8,0,0,85.19%,19059010,Goods,Big Cakes,,"Non-vegetarian,Dessert",,,BC Celebrations,,kg,
1839,Item,BC Chocolate Mousse,Sale,2.5,2000,0,2000,100,800,0,800,1130.99,452.4,0,0,43.45%,19059010,Goods,Big Cakes,,"Non-vegetarian,Dessert",,,BC Chocolate Mousse,,kg,
1845,Item,BC Eggless Black Forest,Sale,2,1238.1,0,1238.1,61.91,619.05,0,619.05,663.27,331.64,0,0,46.43%,19059010,Goods,Big Cakes,,"Vegetarian,Dessert",,,BC Eggless Black Forest,,kg,
1847,Item,BC Eggless Bluebrry Cheese Mousse,Sale,0.75,821.43,0,821.43,41.07,1095.24,0,1095.24,465.64,620.85,0,0,43.31%,19059010,Goods,Big Cakes,,"Vegetarian,Dessert",,,BC Eggless Bluebrry Cheese Mousse,,kg,
1852,Item,BC Eggless Chocolate Cheese Mousse,Sale,1.05,940,0,940,47,895.24,0,895.24,535.27,509.78,0,0,43.06%,19059010,Goods,Big Cakes,,"Vegetarian,Dessert",,,BC Eggless Chocolate Cheese Mousse,,kg,
1859,Item,BC Eggless Chocolate Truffle,Sale,4,3580.95,-179.05,3401.9,170.1,895.24,-44.76,850.48,1984.45,496.11,0,0,41.67%,19059010,Goods,Big Cakes,,"Vegetarian,Dessert",,,BC Eggless Chocolate Truffle,,kg,
1896,Item,BC Galaxy,Sale,0.58,491.62,0,491.62,24.58,847.62,0,847.62,273.39,471.36,0,0,44.39%,19059010,Goods,Big Cakes,,"Non-vegetarian,Dessert",,,BC Galaxy,,kg,
1909,Item,BC Pure Chocolate,Sale,2.16,1645.71,-82.29,1563.42,78.17,761.9,-38.1,723.81,1306.78,604.99,0,0,16.42%,19059010,Goods,Big Cakes,,"Non-vegetarian,Dessert",,,BC Pure Chocolate,,kg,
1918,Item,BC Six Wonders,Sale,0.73,669.76,0,669.76,33.48,917.48,0,917.48,378.26,518.16,0,0,43.52%,19059010,Goods,Big Cakes,,"Non-vegetarian,Dessert",,,BC Six Wonders,,kg,
1924,Item,BC White Forest,Sale,2.2,1320,-100.71,1219.29,60.96,600,-45.78,554.22,674.14,306.43,0,0,44.71%,19059010,Goods,Big Cakes,,"Non-vegetarian,Dessert",,,BC White Forest,,kg,
1948,Item,Rich plum cake Pure Choc IC (1 Pcs),Sale,1,41.91,0,41.91,2.1,41.91,0,41.91,0,0,0,0,100%,19059010,Goods,Plum Cake,,"Vegetarian,Dessert",,,Rich plum cake Pure Choc IC,1 Pcs,ea,
1964,Item,Red velvet cake (1 Pcs),Sale,92,7580.82,0,7580.82,379.09,82.4,0,82.4,3558.09,38.67,0,0,53.06%,19059010,Goods,Cakes,Something Special,"Non-vegetarian,Dessert",,,Red velvet cake,1 Pcs,ea,
1965,Item,Red velvet cake (1/2 kg),Sale,12,5770.49,0,5770.49,288.51,480.87,0,480.87,2601.56,216.8,0,0,54.92%,19059010,Goods,Cakes,Something Special,"Non-vegetarian,Dessert",,,Red velvet cake,1/2 kg,ea,
1965OM,Option,Red velvet cake (1/2 kg),Sale,1,0,0,0,0,0,0,0,0,0,0,0,,19059010,Goods,Online Menu,Something Special,,,,Red velvet cake,1/2 kg,ea,
1966,Item,Red velvet cake (1 kg),Sale,2,1847.62,0,1847.62,92.38,923.81,0,923.81,0,0,0,0,100%,19059010,Goods,Cakes,Something Special,"Non-vegetarian,Dessert",,,Red velvet cake,1 kg,ea,
1994OM,Item,Sandwich Bun 5Pcs,Sale,32,1600,0,1600,0,50,0,50,975.85,30.5,0,0,39.01%,19054000,Goods,Snacks,Bun,"Vegetarian,Dessert",,,Sandwich Bun 5Pcs,,pkt,
1EL,Item,Eggless Black Forest (1 Pcs),Sale,62,3569.47,-2.86,3566.61,178.28,57.57,-0.05,57.53,1555.81,25.09,0,0,56.38%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Black Forest,1 Pcs,ea,
1EOM,Item,Eggless Black Forest (1 Pcs),Sale,3,171.43,0,171.43,8.57,57.14,0,57.14,97.9,32.63,0,0,42.89%,19059010,Goods,Online Menu,,"Vegetarian,Dessert",,,Eggless Black Forest,1 Pcs,ea,
2,Item,Pineapple Pastry (1 Pcs),Sale,99,5259.9,-2.1,5257.8,262.96,53.13,-0.02,53.11,2206.68,22.29,0,0,58.03%,19059010,Goods,Cakes,Regular Cakes,"Non-vegetarian,Dessert",,,Pineapple Pastry,1 Pcs,ea,
20,Item,Black Currant (1 Pcs),Sale,33,2374.33,0,2374.33,118.68,71.95,0,71.95,1132.15,34.31,0,0,52.32%,19059010,Goods,Cakes,Premium Cakes,"Non-vegetarian,Dessert",,,Black Currant,1 Pcs,ea,
200,Item,Black Forest (1 Kg),Sale,14,8137.15,-257.14,7880.01,394,581.23,-18.37,562.86,0,0,0,0,100%,19059010,Goods,Cakes,Regular Cakes,"Non-vegetarian,Dessert",,,Black Forest,1 Kg,ea,
200EL,Item,Eggless Black Forest (1 Kg),Sale,6,3714.3,-61.9,3652.4,182.62,619.05,-10.32,608.73,0,0,0,0,100%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Black Forest,1 Kg,ea,
201,Item,Pineapple Pastry (1 Kg),Sale,1,571.43,0,571.43,28.57,571.43,0,571.43,0,0,0,0,100%,19059010,Goods,Cakes,Regular Cakes,"Non-vegetarian,Dessert",,,Pineapple Pastry,1 Kg,ea,
201EL,Item,Eggless Pineapple Pastry (1 Kg),Sale,3,1857.15,-30.95,1826.2,91.31,619.05,-10.32,608.73,1086.18,362.06,0,0,40.52%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Pineapple Pastry,1 Kg,ea,
202,Item,White Forest (1 Kg),Sale,1,600,0,600,30,600,0,600,0,0,0,0,100%,19059010,Goods,Cakes,Regular Cakes,"Non-vegetarian,Dessert",,,White Forest,1 Kg,ea,
202ELSP,Item,Eggless White Forest (Special cake 1 kg),Sale,1,950.48,0,950.48,47.52,950.48,0,950.48,0,0,0,0,100%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless White Forest,Special cake 1 kg,ea,
203,Item,Chocolate Cheese Mousse (1 Kg),Sale,4,3594.29,0,3594.29,179.71,898.57,0,898.57,0,0,0,0,100%,19059010,Goods,Cakes,Mousse & Cheese Cakes,"Non-vegetarian,Dessert",,,Chocolate Cheese Mousse,1 Kg,ea,
2031,Item,Packing and Delivery charges,Sale,1,114.29,0,114.29,5.71,114.29,0,114.29,0,0,0,0,100%,19059010,Goods,Others,,,,,Packing and Delivery charges,,ea,
203EL,Item,Eggless Chocolate Cheese Mousse (1 Kg),Sale,2,1790.48,0,1790.48,89.52,895.24,0,895.24,0,0,0,0,100%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Chocolate Cheese Mousse,1 Kg,ea,
203ELSP,Item,Eggless Chocolate Cheese Mousse (Special cake 1 kg),Sale,1,1014.29,0,1014.29,50.71,1014.29,0,1014.29,0,0,0,0,100%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Chocolate Cheese Mousse,Special cake 1 kg,ea,
204,Item,Chocolate Mousse (1 Kg),Sale,1,800,0,800,40,800,0,800,0,0,0,0,100%,19059010,Goods,Cakes,Mousse & Cheese Cakes,"Non-vegetarian,Dessert",,,Chocolate Mousse,1 Kg,ea,
205EL,Item,Eggless Chocolate Mars (1 Kg),Sale,3,2685.72,0,2685.72,134.28,895.24,0,895.24,0,0,0,0,100%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Chocolate Mars,1 Kg,ea,
206,Item,Chocolate Truffle (1 Kg),Sale,9,7628.58,0,7628.58,381.42,847.62,0,847.62,0,0,0,0,100%,19059010,Goods,Cakes,Premium Cakes,"Non-vegetarian,Dessert",,,Chocolate Truffle,1 Kg,ea,
206EL,Item,Eggless Chocolate Truffle (1 Kg),Sale,7,6481.92,-44.76,6437.16,321.85,925.99,-6.39,919.59,0,0,0,0,100%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Chocolate Truffle,1 Kg,ea,
206ELSP,Item,Eggless Chocolate Truffle (Special cake 1 Kg),Sale,1,1014.29,0,1014.29,50.71,1014.29,0,1014.29,0,0,0,0,100%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Chocolate Truffle,Special cake 1 Kg,ea,
206SP,Item,Chocolate Truffle (Special cake 1 kg),Sale,1,1199.05,0,1199.05,59.95,1199.05,0,1199.05,0,0,0,0,100%,19059010,Goods,Cakes,Premium Cakes,"Non-vegetarian,Dessert",,,Chocolate Truffle,Special cake 1 kg,ea,
207,Item,Chocolate Butterscotch (1 Kg),Sale,2,1695.24,0,1695.24,84.76,847.62,0,847.62,0,0,0,0,100%,19059010,Goods,Cakes,Premium Cakes,"Non-vegetarian,Dessert",,,Chocolate Butterscotch,1 Kg,ea,
209,Item,Celebration (1 Kg),Sale,2,1847.62,0,1847.62,92.38,923.81,0,923.81,0,0,0,0,100%,19059010,Goods,Cakes,Something Special,"Non-vegetarian,Dessert",,,Celebration,1 Kg,ea,
2100,Item,Maaza (Tetra Pack),Sale,21,199.95,0,199.95,10.03,9.52,0,9.52,175.35,8.35,0,0,12.30%,22029920,Goods,Soft Drinks,,"Vegetarian,Dessert",,,Maaza,Tetra Pack,ea,
2101,Item,Lava Cake,Sale,139,9928.77,-3.57,9925.2,496.2,71.43,-0.03,71.4,6500,46.76,0,0,34.51%,19059010,Goods,Dry Items,Others,"Dessert,Vegetarian",,,Lava Cake,,ea,
213,Item,ButterScotch (1 Kg),Sale,4,2971.44,-22.29,2949.15,147.45,742.86,-5.57,737.29,0,0,0,0,100%,19059010,Goods,Cakes,Premium Cakes,"Non-vegetarian,Dessert",,,ButterScotch,1 Kg,ea,
213EL,Item,Eggless Butterscotch (1 Kg),Sale,1,790.48,0,790.48,39.52,790.48,0,790.48,0,0,0,0,100%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Butterscotch,1 Kg,ea,
213OM,Item,ButterScotch (1 Kg),Sale,1,742.86,0,742.86,37.14,742.86,0,742.86,445.62,445.62,0,0,40.01%,19059010,Goods,Online Menu,Premium Cakes,"Non-vegetarian,Dessert",,,ButterScotch,1 Kg,ea,
214,Item,Galaxy (1 Kg),Sale,2,1695.24,0,1695.24,84.76,847.62,0,847.62,0,0,0,0,100%,19059010,Goods,Cakes,Mousse & Cheese Cakes,"Non-vegetarian,Dessert",,,Galaxy,1 Kg,ea,
214EL,Item,Eggless Galaxy (1 Kg),Sale,1,895.24,0,895.24,44.76,895.24,0,895.24,0,0,0,0,100%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Galaxy,1 Kg,ea,
215,Item,Mango Mousse (1 Kg),Sale,1,847.62,0,847.62,42.38,847.62,0,847.62,0,0,0,0,100%,19059010,Goods,Cakes,Mousse & Cheese Cakes,"Non-vegetarian,Dessert",,,Mango Mousse,1 Kg,ea,
2197,Item,BC Eggless Redvelvet cake,Sale,0.13,121.43,0,121.43,6.07,934.08,0,934.08,68.76,528.92,0,0,43.37%,19059010,Goods,Big Cakes,,"Vegetarian,Dessert",,,BC Eggless Redvelvet cake,,kg,
222,Item,Tiramisu (1 Kg),Sale,1,933.33,-46.67,886.66,44.33,933.33,-46.67,886.66,0,0,0,0,100%,19059010,Goods,Cakes,Mousse & Cheese Cakes,"Non-vegetarian,Dessert",,,Tiramisu,1 Kg,ea,
223EL,Item,Eggless Fruit Truffle (1 Kg),Sale,1,895.24,0,895.24,44.76,895.24,0,895.24,0,0,0,0,100%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Fruit Truffle,1 Kg,ea,
226,Item,Blueberry (1 Kg),Sale,1,771.43,0,771.43,38.57,771.43,0,771.43,0,0,0,0,100%,19059010,Goods,Cakes,Exotic Fruitz,"Non-vegetarian,Dessert",,,Blueberry,1 Kg,ea,
226SP,Item,Blueberry (Special cake 1 kg),Sale,1,890.48,-133.57,756.91,37.85,890.48,-133.57,756.91,0,0,0,0,100%,19059010,Goods,Cakes,Exotic Fruitz,"Non-vegetarian,Dessert",,,Blueberry,Special cake 1 kg,ea,
227,Item,Opera (1 Kg),Sale,1,923.81,-36.95,886.86,44.34,923.81,-36.95,886.86,0,0,0,0,100%,19059010,Goods,Cakes,Something Special,"Non-vegetarian,Dessert",,,Opera,1 Kg,ea,
227EL,Item,Eggless Opera (1 Kg),Sale,1,971.43,0,971.43,48.57,971.43,0,971.43,0,0,0,0,100%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Opera,1 Kg,ea,
229,Item,Triple Queen (1 Kg),Sale,1,923.81,0,923.81,46.19,923.81,0,923.81,0,0,0,0,100%,19059010,Goods,Cakes,Something Special,"Non-vegetarian,Dessert",,,Triple Queen,1 Kg,ea,
23,Item,Tiramisu (1 Pcs),Sale,72,6171.19,0,6171.19,308.64,85.71,0,85.71,2758.03,38.31,0,0,55.31%,19059010,Goods,Cakes,Mousse & Cheese Cakes,"Non-vegetarian,Dessert",,,Tiramisu,1 Pcs,ea,
230,Item,Pineapple Tidbits (1 Kg),Sale,2,1899.05,0,1899.05,94.95,949.53,0,949.53,0,0,0,0,100%,19059010,Goods,Cakes,Exotic Fruitz,"Non-vegetarian,Dessert",,,Pineapple Tidbits,1 Kg,ea,
2307,Item,Eggless Red velvet cake (Special cake 1/2 kg),Sale,1,732.38,0,732.38,36.62,732.38,0,732.38,0,0,0,0,100%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Red velvet cake,Special cake 1/2 kg,ea,
2320,Item,Masala Mini Rusk(200gm),Sale,8,495.28,0,495.28,24.79,61.91,0,61.91,216.65,27.08,0,0,56.26%,19054000,Goods,Dry Items,Rusk,"Vegetarian,Dessert",,,Masala Mini Rusk(200gm),,ea,
235,Item,Classic Black Forest (1 Kg),Sale,1,771.43,0,771.43,38.57,771.43,0,771.43,0,0,0,0,100%,19059010,Goods,Cakes,Exotic Fruitz,"Non-vegetarian,Dessert",,,Classic Black Forest,1 Kg,ea,
236,Item,Rich Plum Cake (1 Kg),Sale,9,6428.59,0,6428.59,321.41,714.29,0,714.29,4500,500,0,0,30%,19059010,Goods,Plum Cake,,"Non-vegetarian,Dessert",,,Rich Plum Cake,1 Kg,ea,
23EL,Item,Eggless Tiramisu (1 Pcs),Sale,11,995.28,0,995.28,49.75,90.48,0,90.48,550.29,50.03,0,0,44.71%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Tiramisu,1 Pcs,ea,
24,Item,Fruit Truffle (1 Pcs),Sale,29,2209.51,-3.05,2206.46,110.34,76.19,-0.11,76.08,1032.07,35.59,0,0,53.23%,19059010,Goods,Cakes,Exotic Fruitz,"Non-vegetarian,Dessert",,,Fruit Truffle,1 Pcs,ea,
2401,Item,Strawberry Chbar,Sale,10,285.7,0,285.7,14.3,28.57,0,28.57,114.32,11.43,0,0,59.99%,18069010,Goods,Chocolate Bars,,"Vegetarian,Dessert",,,Strawberry Chbar,,ea,
2401a,Item,Strawberry mini chbar,Sale,12,228.6,0,228.6,11.42,19.05,0,19.05,85.68,7.14,0,0,62.52%,18069010,Goods,Chocolate Bars,,"Vegetarian,Dessert",,,Strawberry mini chbar,,ea,
2403,Item,Pineapple Chbar,Sale,14,399.99,0,399.99,20.01,28.57,0,28.57,157.19,11.23,0,0,60.70%,18069010,Goods,Chocolate Bars,,"Vegetarian,Dessert",,,Pineapple Chbar,,ea,
2403a,Item,Pineapple mini chbar,Sale,10,190.5,-0.95,189.55,9.48,19.05,-0.1,18.96,66.64,6.66,0,0,64.84%,18069010,Goods,Chocolate Bars,,"Vegetarian,Dessert",,,Pineapple mini chbar,,ea,
2404,Item,Orange Chbar,Sale,23,657.12,0,657.12,32.87,28.57,0,28.57,285.8,12.43,0,0,56.51%,18069010,Goods,Chocolate Bars,,"Vegetarian,Dessert",,,Orange Chbar,,ea,
2404a,Item,Orange mini chbar,Sale,9,171.44,0,171.44,8.56,19.05,0,19.05,76.16,8.46,0,0,55.58%,18069010,Goods,Chocolate Bars,,"Vegetarian,Dessert",,,Orange mini chbar,,ea,
2405,Item,Mango Chbar,Sale,25,714.25,0,714.25,35.74,28.57,0,28.57,314.38,12.58,0,0,55.98%,18069010,Goods,Chocolate Bars,,"Vegetarian,Dessert",,,Mango Chbar,,ea,
2405a,Item,Mango mini chbar,Sale,14,266.69,0,266.69,13.32,19.05,0,19.05,104.72,7.48,0,0,60.73%,18069010,Goods,Chocolate Bars,,"Vegetarian,Dessert",,,Mango mini chbar,,ea,
2406,Item,White Chbar,Sale,33,942.84,0,942.84,47.15,28.57,0,28.57,457.28,13.86,0,0,51.50%,18069010,Goods,Chocolate Bars,,"Vegetarian,Dessert",,,White Chbar,,ea,
2406a,Item,White mini chbar,Sale,9,171.43,0,171.43,8.57,19.05,0,19.05,85.68,9.52,0,0,50.02%,18069010,Goods,Chocolate Bars,,"Vegetarian,Dessert",,,White mini chbar,,ea,
2407,Item,Choco ChBar,Sale,3,85.71,0,85.71,4.29,28.57,0,28.57,0,0,0,0,100%,18069010,Goods,Chocolate Bars,,"Vegetarian,Dessert",,,Choco ChBar,,ea,
2407a,Item,Choco mini chbar,Sale,13,247.65,0,247.65,12.38,19.05,0,19.05,104.72,8.06,0,0,57.71%,18069010,Goods,Chocolate Bars,,"Vegetarian,Dessert",,,Choco mini chbar,,ea,
2408,Item,Pista Chbar,Sale,11,314.27,0,314.27,15.72,28.57,0,28.57,128.61,11.69,0,0,59.08%,18069010,Goods,Chocolate Bars,,"Vegetarian,Dessert",,,Pista Chbar,,ea,
2408a,Item,Pista mini chbar,Sale,19,361.94,0,361.94,18.09,19.05,0,19.05,171.36,9.02,0,0,52.66%,18069010,Goods,Chocolate Bars,,"Vegetarian,Dessert",,,Pista mini chbar,,ea,
24EL,Item,Eggless Fruit Truffle (1 Pcs),Sale,2,161.9,0,161.9,8.1,80.95,0,80.95,93.92,46.96,0,0,41.99%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Fruit Truffle,1 Pcs,ea,
25,Item,Fruit Forest (1 Pcs),Sale,30,2303.8,0,2303.8,115.2,76.79,0,76.79,1001.75,33.39,0,0,56.52%,19059010,Goods,Cakes,Exotic Fruitz,"Non-vegetarian,Dessert",,,Fruit Forest,1 Pcs,ea,
251,Item,Chocolate Chillz (1 Kg),Sale,1,895.24,0,895.24,44.76,895.24,0,895.24,0,0,0,0,100%,19059010,Goods,Cakes,Something Special,"Non-vegetarian,Dessert",,,Chocolate Chillz,1 Kg,ea,
2546,Item,Mita 170A 01,Sale,2,85.72,0,85.72,4.28,42.86,0,42.86,0,0,0,0,100%,18069010,Goods,Gift Pack Chocolate,,"Vegetarian,Dessert",,,Mita 170A 01,,ea,
256,Item,Eggless Triple Queen (2 Kg),Sale,2,3885.72,-97.14,3788.58,189.43,1942.86,-48.57,1894.29,2295.09,1147.55,0,0,39.42%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Triple Queen,2 Kg,ea,
260,Item,Six Wonders (1 Kg),Sale,3,2771.43,-92.38,2679.05,133.95,923.81,-30.79,893.02,1096.4,365.47,0,0,59.08%,19059010,Goods,Cakes,Something Special,"Non-vegetarian,Dessert",,,Six Wonders,1 Kg,ea,
260SP,Item,Six Wonders (Special cake 1 kg),Sale,2,2085.72,-52.14,2033.58,101.68,1042.86,-26.07,1016.79,0,0,0,0,100%,19059010,Goods,Cakes,Something Special,"Non-vegetarian,Dessert",,,Six Wonders,Special cake 1 kg,ea,
2641,Add On,Butter Cookies (Guraiba) (150gm),Sale,1,114.29,0,114.29,5.71,114.29,0,114.29,85.72,85.72,0,0,25%,18069010,Goods,Cookies,With Egg,,,,Butter Cookies (Guraiba),150gm,ea,
2641,Item,Butter Cookies (Guraiba) (150gm),Sale,22,2514.37,0,2514.37,125.65,114.29,0,114.29,1377.16,62.6,0,0,45.23%,19053100,Goods,Cookies,With Egg,"Dessert,Vegetarian",,,Butter Cookies (Guraiba),150gm,ea,
2647,Item,Almond honey cookies (100gm),Sale,20,2857.2,0,2857.2,142.81,142.86,0,142.86,1900,95,0,0,33.50%,19053100,Goods,Cookies,With Egg,"Dessert,Non-vegetarian",,,Almond honey cookies,100gm,ea,
2694,Item,Tea Cake Chocolate (150 gm),Sale,10,1000,0,1000,50,100,0,100,490,49,0,0,51%,19059010,Goods,Dry Items,Dry Cakes,"Non-vegetarian,Dessert",,,Tea Cake Chocolate,150 gm,ea,
2695,Item,Tea Cake Vanilla (150 gm),Sale,18,1628.64,-4.52,1624.12,81.18,90.48,-0.25,90.23,759.96,42.22,0,0,53.21%,19059010,Goods,Dry Items,Dry Cakes,"Non-vegetarian,Dessert",,,Tea Cake Vanilla,150 gm,ea,
27,Item,Blueberry (1 Pcs),Sale,73,5248.67,-7.14,5241.53,262.01,71.9,-0.1,71.8,2594.55,35.54,0,0,50.50%,19059010,Goods,Cakes,Exotic Fruitz,"Non-vegetarian,Dessert",,,Blueberry,1 Pcs,ea,
2728,Item,Eggless Fruit Cake (150 gm),Sale,34,3561.84,0,3561.84,178.15,104.76,0,104.76,2273.23,66.86,0,0,36.18%,19059010,Goods,Dry Items,Dry Cakes,"Vegetarian,Dessert",,,Eggless Fruit Cake,150 gm,ea,
27EL,Item,Eggless Blueberry (1 Pcs),Sale,41,3276.19,0,3276.19,163.82,79.91,0,79.91,1778.4,43.38,0,0,45.72%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Blueberry,1 Pcs,ea,
28,Item,Opera (1 Pcs),Sale,52,4247.55,0,4247.55,212.39,81.68,0,81.68,1669.02,32.1,0,0,60.71%,19059010,Goods,Cakes,Something Special,"Non-vegetarian,Dessert",,,Opera,1 Pcs,ea,
